,Station,Station Code,Line,Distance From Previous of the Line,Time taken From Previous of the Line
177,Boisar,BOR,Dahanu-Virar-Panvel,6.0,6.0
178,Umroli Road,UOI,Dahanu-Virar-Panvel,6.0,6.0
179,Palghar,PLG,Dahanu-Virar-Panvel,8.0,15.0
180,Kelva Road,KLV,Dahanu-Virar-Panvel,6.0,8.0
181,Saphale,SAH,Dahanu-Virar-Panvel,8.0,8.0
182,Vaitarna,VTN,Dahanu-Virar-Panvel,8.0,9.0
183,Virar,VR,Dahanu-Virar-Panvel,4.0,6.0
184,Nalla Sopara,NSP,Dahanu-Virar-Panvel,4.0,5.0
185,Vasai Road,BSR/BS,Dahanu-Virar-Panvel,4.0,5.0
186,Juchandra Road,JCNR,Dahanu-Virar-Panvel,4.0,6.0
187,Kaman Road,KARD,Dahanu-Virar-Panvel,7.0,6.0
188,Kharbao,KHBV,Dahanu-Virar-Panvel,7.0,7.0
189,Bhiwandi Road,BIRD,Dahanu-Virar-Panvel,8.0,10.0
190,Kopar,KOPR,Dahanu-Virar-Panvel,8.0,12.0
191,Dativali,DTVL,Dahanu-Virar-Panvel,3.0,8.0
192,Nilje,NIIJ,Dahanu-Virar-Panvel,4.0,11.0
193,Taloja Panchanand,TPND,Dahanu-Virar-Panvel,6.0,9.0
194,Navade Road,NVRD,Dahanu-Virar-Panvel,4.0,7.0
195,Kalamboli,KLMG,Dahanu-Virar-Panvel,2.0,3.0
196,Panvel,PNVL,Dahanu-Virar-Panvel,4.0,16.0
197,Neral,NRL,Neral-Matheran,0.0,0.0
198,Jumapatti,JTT,Neral-Matheran,5.0,46.0
199,Waterpipe,WTP,Neral-Matheran,6.0,46.0
200,Aman Lodge,AMNA,Neral-Matheran,7.0,50.0
201,Matheran,MAE,Neral-Matheran,2.0,18.0
