,Station Name,Latitude,Longitude,Station Code,Line,Sequence,Distance From Previous,Time From Previous,System
90,Vidyavihar,19.0795422,72.8971169,VVH,Central 2,12,2.0,3.0,Mumbai Local Train
91,Ghatkopar,19.0856928,72.9083668,G,Central 2,13,2.0,3.0,Mumbai Local Train
92,Vikhroli,19.1114795,72.928021,VK,Central 2,14,4.0,5.0,Mumbai Local Train
93,Kanjur Marg,19.1296868,72.9283701,KJMG,Central 2,15,2.0,3.0,Mumbai Local Train
94,Bhandup,19.1438684,72.9384327,BND,Central 2,16,2.0,3.0,Mumbai Local Train
95,Nahur,19.1550738,72.9469187,NHU,Central 2,17,1.0,3.0,Mumbai Local Train
96,Mulund,19.1721762,72.9562383,MLND,Central 2,18,2.0,3.0,Mumbai Local Train
97,Thane,19.186483,72.9757664,TNA,Central 2,19,2.0,4.0,Mumbai Local Train
98,Kalva,19.1952243,72.9963331,KLVA,Central 2,20,2.0,4.0,Mumbai Local Train
99,Mumbra,19.1899425,73.0230752,MBQ,Central 2,21,3.0,6.0,Mumbai Local Train
100,Diva Junction,19.1887564,73.0414169,DIVA,Central 2,22,3.0,4.0,Mumbai Local Train
101,Kopar,19.212423,73.078865,KOPR,Central 2,23,4.0,5.0,Mumbai Local Train
102,Dombivli,19.2180493,73.0861355,DI,Central 2,24,1.0,3.0,Mumbai Local Train
103,Thakurli,19.2255622,73.0968165,THK,Central 2,25,1.0,3.0,Mumbai Local Train
104,Kalyan Junction,19.2358216,73.1308101,KYN,Central 2,26,3.0,6.0,Mumbai Local Train
105,Shahad,19.2435448,73.1580817,SHAD,Central 2,27,3.0,5.0,Mumbai Local Train
106,Ambivli,19.267645,73.1718625,ABY,Central 2,28,2.0,3.0,Mumbai Local Train
107,Titwala,19.2963414,73.2032791,TLA,Central 2,29,6.0,5.0,Mumbai Local Train
108,Khadavli,19.356724,73.2190375,KDV,Central 2,30,7.0,8.0,Mumbai Local Train
109,Vasind,19.4065089,73.2674683,VSD,Central 2,31,8.0,8.0,Mumbai Local Train
110,Asangaon,19.4399615,73.3081462,ASO,Central 2,32,6.0,6.0,Mumbai Local Train
111,Atgaon,19.5028985,73.3287332,ATG,Central 2,33,9.0,9.0,Mumbai Local Train
112,Thansit Cabin,19.5502698,73.352282,THS,Central 2,34,7.0,7.0,Mumbai Local Train
113,Khardi,19.5802161,73.3938248,KE,Central 2,35,5.0,5.0,Mumbai Local Train
114,Umbermali,19.628555,73.4230708,OMB,Central 2,36,6.0,6.0,Mumbai Local Train
115,Kasara,19.6483202,73.4730493,KSRA,Central 2,37,12.0,12.0,Mumbai Local Train
116,Dahanu Road,19.102196,72.8652361,DRD,Dahanu-Virar-Panvel,1,0.0,0.0,Mumbai Local Train
117,Vangaon,19.8829908,72.7631658,VGN,Dahanu-Virar-Panvel,2,9.0,9.0,Mumbai Local Train
118,Boisar,19.7984865,72.761452,BOR,Dahanu-Virar-Panvel,3,6.0,6.0,Mumbai Local Train
119,Umroli,19.7557614,72.7604506,UOI,Dahanu-Virar-Panvel,4,6.0,6.0,Mumbai Local Train
120,Palghar,19.6978882,72.7718888,PLG,Dahanu-Virar-Panvel,5,8.0,15.0,Mumbai Local Train
121,Kelve Road,19.6240526,72.7911751,KLV,Dahanu-Virar-Panvel,6,6.0,8.0,Mumbai Local Train
122,Saphale,19.5771316,72.8218812,SAH,Dahanu-Virar-Panvel,7,8.0,8.0,Mumbai Local Train
123,Vaitarna,19.5186517,72.8499772,VTN,Dahanu-Virar-Panvel,8,8.0,9.0,Mumbai Local Train
124,Virar,19.4553059,72.811816,VR,Dahanu-Virar-Panvel,9,4.0,6.0,Mumbai Local Train
125,Nalla Sopara,19.4178997,72.8185693,NSP,Dahanu-Virar-Panvel,10,4.0,5.0,Mumbai Local Train
126,Vasai Road,19.3826676,72.8320245,BSR/BS,Dahanu-Virar-Panvel,11,4.0,5.0,Mumbai Local Train
127,Juichandra,19.3604641,72.8723218,JCNR,Dahanu-Virar-Panvel,12,4.0,6.0,Mumbai Local Train
128,Kaman Road,19.3366555,72.9190837,KARD,Dahanu-Virar-Panvel,13,7.0,6.0,Mumbai Local Train
129,Kharbhav,19.298321,72.9844677,KHBV,Dahanu-Virar-Panvel,14,7.0,7.0,Mumbai Local Train
130,Bhivandi Road,19.2688735,73.0463121,BIRD,Dahanu-Virar-Panvel,15,8.0,10.0,Mumbai Local Train
131,Kopar,19.212423,73.078865,KOPR,Dahanu-Virar-Panvel,16,8.0,12.0,Mumbai Local Train
132,Dativali,19.1871047,73.0591806,DTVL,Dahanu-Virar-Panvel,17,3.0,8.0,Mumbai Local Train
